 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| rho(770)+         |          213 |   1  |   775.3 MeV |      149.1 MeV |      0     |         rho+         |     213    |       rho(770)-      |
| a_2(1320)-        |         -215 |  -1  |   1.318 GeV |        107 MeV |      0     |         a_2-         |    -215    |      a_2(1320)+      |
| a_2(1320)+        |          215 |   1  |   1.318 GeV |        107 MeV |      0     |         a_2+         |     215    |      a_2(1320)-      |
| rho_3(1690)-      |         -217 |  -1  |   1.689 GeV |        161 MeV |      0     |        unknown       |      0     |     rho_3(1690)+     |
| rho_3(1690)+      |          217 |   1  |   1.689 GeV |        161 MeV |      0     |        unknown       |      0     |     rho_3(1690)-     |
| a_4(2040)-        |         -219 |  -1  |   1.996 GeV |        255 MeV |      0     |        unknown       |      0     |      a_4(2040)+      |
| a_4(2040)+        |          219 |   1  |   1.996 GeV |        255 MeV |      0     |        unknown       |      0     |      a_4(2040)-      |
| eta               |          221 |   0  |   547.9 MeV |        1.3 keV |      0     |          eta         |     221    |        self-cc       |
| omega(782)        |          223 |   0  |   782.6 MeV |       8.49 MeV |      0     |         omega        |     223    |        self-cc       |
| f_2(1270)         |          225 |   0  |   1.275 GeV |      185.1 MeV |      0     |          f_2         |     225    |        self-cc       |
| omega_3(1670)     |          227 |   0  |   1.667 GeV |        168 MeV |      0     |        unknown       |      0     |        self-cc       |
| f_4(2050)         |          229 |   0  |   2.018 GeV |        237 MeV |      0     |        unknown       |      0     |        self-cc       |
| KS0               |          310 |   0  |   497.6 MeV |      2.685 cm  |      0     |         K_S0         |     310    |        self-cc       |
| K~0               |         -311 |   0  |   497.6 MeV |          0 ns  |      0     |        anti-K0       |    -311    |          K0          |
| K0                |          311 |   0  |   497.6 MeV |          0 ns  |      0     |          K0          |     311    |          K~0         |
| K*(892)~0         |         -313 |   0  |   895.8 MeV |       47.4 MeV |      0     |       anti-K*0       |    -313    |       K*(892)0       |
| K*(892)0          |          313 |   0  |   895.8 MeV |       47.4 MeV |      0     |          K*0         |     313    |       K*(892)~0      |
| K*_2(1430)~0      |         -315 |   0  |   1.432 GeV |        109 MeV |      0     |      anti-K_2*0      |    -315    |      K*_2(1430)0     |
| K*_2(1430)0       |          315 |   0  |   1.432 GeV |        109 MeV |      0     |         K_2*0        |     315    |     K*_2(1430)~0     |
| K*_3(1780)~0      |         -317 |   0  |   1.776 GeV |        159 MeV |      0     |      anti-K_3*0      |      0     |      K*_3(1780)0     |
| K*_3(1780)0       |          317 |   0  |   1.776 GeV |        159 MeV |      0     |         K_3*0        |      0     |     K*_3(1780)~0     |
| K*_4(2045)~0      |         -319 |   0  |   2.045 GeV |        198 MeV |      0     |      anti-K_4*0      |      0     |      K*_4(2045)0     |
| K*_4(2045)0       |          319 |   0  |   2.045 GeV |        198 MeV |      0     |         K_4*0        |      0     |     K*_4(2045)~0     |
| K-                |         -321 |  -1  |   493.7 MeV |      3.711 m   |      0     |          K-          |    -321    |          K+          |
| K+                |          321 |   1  |   493.7 MeV |      3.711 m   |      0     |          K+          |     321    |          K-          |
| K*(892)-          |         -323 |  -1  |   891.7 MeV |       50.8 MeV |      0     |          K*-         |    -323    |       K*(892)+       |
| K*(892)+          |          323 |   1  |   891.7 MeV |       50.8 MeV |      0     |          K*+         |     323    |       K*(892)-       |
| K*_2(1430)-       |         -325 |  -1  |   1.426 GeV |       98.5 MeV |      0     |         K_2*-        |    -325    |      K*_2(1430)+     |
| K*_2(1430)+       |          325 |   1  |   1.426 GeV |       98.5 MeV |      0     |         K_2*+        |     325    |      K*_2(1430)-     |
| K*_3(1780)-       |         -327 |  -1  |   1.776 GeV |        159 MeV |      0     |         K_3*-        |      0     |      K*_3(1780)+     |
| K*_3(1780)+       |          327 |   1  |   1.776 GeV |        159 MeV |      0     |         K_3*+        |      0     |      K*_3(1780)-     |
| K*_4(2045)-       |         -329 |  -1  |   2.045 GeV |        198 MeV |      0     |         K_4*-        |      0     |      K*_4(2045)+     |
| K*_4(2045)+       |          329 |   1  |   2.045 GeV |        198 MeV |      0     |         K_4*+        |      0     |      K*_4(2045)-     |
| eta_prime         |          331 |   0  |   957.8 MeV |        198 keV |      0     |         eta'         |     331    |        self-cc       |
| phi(1020)         |          333 |   0  |   1.019 GeV |       4.26 MeV |      0     |          phi         |     333    |        self-cc       |
| f'_2(1525)        |          335 |   0  |   1.525 GeV |         73 MeV |      0     |         f'_2         |     335    |        self-cc       |
| phi_3(1850)       |          337 |   0  |   1.854 GeV |         87 MeV |      0     |        unknown       |      0     |        self-cc       |
| B_s0L             |          350 |   0  |   5.367 GeV |      421.2 um  |      0     |         B_s0L        |      0     |        self-cc       |
| D-                |         -411 |  -1  |    1.87 GeV |      311.8 um  |      0     |          D-          |    -411    |          D+          |
| D+                |          411 |   1  |    1.87 GeV |      311.8 um  |      0     |          D+          |     411    |          D-          |
| D*(2010)-         |         -413 |  -1  |    2.01 GeV |       83.4 keV |      0     |          D*-         |    -413    |       D*(2010)+      |
| D*(2010)+         |          413 |   1  |    2.01 GeV |       83.4 keV |      0     |          D*+         |     413    |       D*(2010)-      |
| D*_2(2460)-       |         -415 |  -1  |   2.464 GeV |         37 MeV |      0     |         D_2*-        |    -415    |      D*_2(2460)+     |
| D*_2(2460)+       |          415 |   1  |   2.464 GeV |         37 MeV |      0     |         D_2*+        |     415    |      D*_2(2460)-     |
| D~0               |         -421 |   0  |   1.865 GeV |      122.9 um  |      0     |        anti-D0       |    -421    |          D0          |
| D0                |          421 |   0  |   1.865 GeV |      122.9 um  |      0     |          D0          |     421    |          D~0         |
| D*(2007)~0        |         -423 |   0  |   2.007 GeV |      6.582 keV |      0     |       anti-D*0       |    -423    |       D*(2007)0      |
| D*(2007)0         |          423 |   0  |   2.007 GeV |      6.582 keV |      0     |          D*0         |     423    |      D*(2007)~0      |
| D*_2(2460)~0      |         -425 |   0  |   2.463 GeV |         49 MeV |      0     |      anti-D_2*0      |    -425    |      D*_2(2460)0     |
| D*_2(2460)0       |          425 |   0  |   2.463 GeV |         49 MeV |      0     |         D_2*0        |     425    |     D*_2(2460)~0     |
| D_s-              |         -431 |  -1  |   1.968 GeV |      149.9 um  |      0     |         D_s-         |    -431    |         D_s+         |
| D_s+              |          431 |   1  |   1.968 GeV |      149.9 um  |      0     |         D_s+         |     431    |         D_s-         |
| D*_s-             |         -433 |  -1  |   2.112 GeV |      6.582 keV |      0     |         D_s*-        |    -433    |         D*_s+        |
| D*_s+             |          433 |   1  |   2.112 GeV |      6.582 keV |      0     |         D_s*+        |     433    |         D*_s-        |
| D*_s2-            |         -435 |  -1  |   2.572 GeV |         17 MeV |      0     |        D_s2*-        |    -435    |        D*_s2+        |
| D*_s2+            |          435 |   1  |   2.572 GeV |         17 MeV |      0     |        D_s2*+        |     435    |        D*_s2-        |
| eta_c(1S)         |          441 |   0  |   2.984 GeV |       29.7 MeV |      0     |         eta_c        |     441    |        self-cc       |
| J/psi(1S)         |          443 |   0  |   3.097 GeV |       92.9 keV |      0     |         J/psi        |     443    |        self-cc       |
| chi_c2(1P)        |          445 |   0  |   3.556 GeV |       1.93 MeV |      0     |        chi_c2        |     445    |        self-cc       |
| B0H               |          510 |   0  |    5.28 GeV |      455.4 um  |      0     |          B0H         |      0     |        self-cc       |
| B~0               |         -511 |   0  |    5.28 GeV |      455.4 um  |      0     |        anti-B0       |    -511    |          B0          |
| B0                |          511 |   0  |    5.28 GeV |      455.4 um  |      0     |          B0          |     511    |          B~0         |
| B*~0              |         -513 |   0  |   5.325 GeV |      6.582 keV |      0     |       anti-B*0       |    -513    |          B*0         |
| B*0               |          513 |   0  |   5.325 GeV |      6.582 keV |      0     |          B*0         |     513    |         B*~0         |
| B*_2~0            |         -515 |   0  |   5.743 GeV |         23 MeV |      0     |      anti-B_2*0      |    -515    |         B*_20        |
| B*_20             |          515 |   0  |   5.743 GeV |         23 MeV |      0     |         B_2*0        |     515    |        B*_2~0        |
| B-                |         -521 |  -1  |   5.279 GeV |      491.1 um  |      0     |          B-          |    -521    |          B+          |
| B+                |          521 |   1  |   5.279 GeV |      491.1 um  |      0     |          B+          |     521    |          B-          |
| B*-               |         -523 |  -1  |   5.325 GeV |      6.582 keV |      0     |          B*-         |    -523    |          B*+         |
| B*+               |          523 |   1  |   5.325 GeV |      6.582 keV |      0     |          B*+         |     523    |          B*-         |
| B*_2-             |         -525 |  -1  |   5.743 GeV |         23 MeV |      0     |         B_2*-        |    -525    |         B*_2+        |
| B*_2+             |          525 |   1  |   5.743 GeV |         23 MeV |      0     |         B_2*+        |     525    |         B*_2-        |
| B_s0H             |          530 |   0  |   5.367 GeV |        498 um  |      0     |         B_s0H        |      0     |        self-cc       |
| B_s~0             |         -531 |   0  |   5.367 GeV |      453.3 um  |      0     |       anti-B_s0      |    -531    |         B_s0         |
| B_s0              |          531 |   0  |   5.367 GeV |      453.3 um  |      0     |         B_s0         |     531    |         B_s~0        |
| B*_s~0            |         -533 |   0  |   5.415 GeV |      6.582 keV |      0     |      anti-B_s*0      |    -533    |         B*_s0        |
| B*_s0             |          533 |   0  |   5.415 GeV |      6.582 keV |      0     |         B_s*0        |     533    |        B*_s~0        |
