 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
| f_0(1370)         |        10221 |   0  |    1.35 GeV |        350 MeV |      0     |         f'_0         |    10331   |        self-cc       |
| h_1(1170)         |        10223 |   0  |    1.17 GeV |        360 MeV |      0     |          h_1         |    10223   |        self-cc       |
| eta_2(1645)       |        10225 |   0  |   1.617 GeV |        181 MeV |      0     |        unknown       |      0     |        self-cc       |
| K*_0(1430)~0      |       -10311 |   0  |   1.425 GeV |        270 MeV |      0     |      anti-K_0*0      |   -10311   |      K*_0(1430)0     |
| K*_0(1430)0       |        10311 |   0  |   1.425 GeV |        270 MeV |      0     |         K_0*0        |    10311   |     K*_0(1430)~0     |
| K_1(1270)~0       |       -10313 |   0  |   1.272 GeV |         90 MeV |      0     |       anti-K_10      |   -10313   |      K_1(1270)0      |
| K_1(1270)0        |        10313 |   0  |   1.272 GeV |         90 MeV |      0     |         K_10         |    10313   |      K_1(1270)~0     |
| K_2(1770)~0       |       -10315 |   0  |   1.773 GeV |        186 MeV |      0     |        unknown       |      0     |      K_2(1770)0      |
| K_2(1770)0        |        10315 |   0  |   1.773 GeV |        186 MeV |      0     |        unknown       |      0     |      K_2(1770)~0     |
| K*_0(1430)-       |       -10321 |  -1  |   1.425 GeV |        270 MeV |      0     |         K_0*-        |   -10321   |      K*_0(1430)+     |
| K*_0(1430)+       |        10321 |   1  |   1.425 GeV |        270 MeV |      0     |         K_0*+        |    10321   |      K*_0(1430)-     |
| K_1(1270)-        |       -10323 |  -1  |   1.272 GeV |         90 MeV |      0     |         K_1-         |   -10323   |      K_1(1270)+      |
| K_1(1270)+        |        10323 |   1  |   1.272 GeV |         90 MeV |      0     |         K_1+         |    10323   |      K_1(1270)-      |
| K_2(1770)-        |       -10325 |  -1  |   1.773 GeV |        186 MeV |      0     |        unknown       |      0     |      K_2(1770)+      |
| K_2(1770)+        |        10325 |   1  |   1.773 GeV |        186 MeV |      0     |        unknown       |      0     |      K_2(1770)-      |
| f_0(1710)         |        10331 |   0  |   1.722 GeV |        135 MeV |      0     |        unknown       |      0     |        self-cc       |
| h_1(1380)         |        10333 |   0  |     1.4 GeV |          0 ns  |      0     |         h'_1         |    10333   |        self-cc       |
| eta_2(1870)       |        10335 |   0  |   1.854 GeV |          0 ns  |      0     |        unknown       |      0     |        self-cc       |
| D*_0-             |       -10411 |  -1  |   2.318 GeV |        267 MeV |      0     |         D_0*-        |   -10411   |         D*_0+        |
| D*_0+             |        10411 |   1  |   2.318 GeV |        267 MeV |      0     |         D_0*+        |    10411   |         D*_0-        |
| D_1(2420)-        |       -10413 |  -1  |   2.423 GeV |      20.01 MeV |      0     |         D_1-         |   -10413   |      D_1(2420)+      |
| D_1(2420)+        |        10413 |   1  |   2.423 GeV |      20.01 MeV |      0     |         D_1+         |    10413   |      D_1(2420)-      |
| D*_0~0            |       -10421 |   0  |   2.318 GeV |        267 MeV |      0     |      anti-D_0*0      |   -10421   |         D*_00        |
| D*_00             |        10421 |   0  |   2.318 GeV |        267 MeV |      0     |         D_0*0        |    10421   |        D*_0~0        |
| D_1(2420)~0       |       -10423 |   0  |   2.421 GeV |       27.1 MeV |      0     |       anti-D_10      |   -10423   |      D_1(2420)0      |
| D_1(2420)0        |        10423 |   0  |   2.421 GeV |       27.1 MeV |      0     |         D_10         |    10423   |      D_1(2420)~0     |
| D*_s0-            |       -10431 |  -1  |   2.318 GeV |          1 MeV |      0     |        D_s0*-        |   -10431   |        D*_s0+        |
| D*_s0+            |        10431 |   1  |   2.318 GeV |          1 MeV |      0     |        D_s0*+        |    10431   |        D*_s0-        |
| D_s1(2536)-       |       -10433 |  -1  |   2.535 GeV |        920 keV |      0     |        D'_s1-        |   -10433   |      D_s1(2536)+     |
| D_s1(2536)+       |        10433 |   1  |   2.535 GeV |        920 keV |      0     |        D'_s1+        |    10433   |      D_s1(2536)-     |
| chi_c0(1P)        |        10441 |   0  |   3.415 GeV |       10.4 MeV |      0     |        chi_c0        |    10441   |        self-cc       |
| h_c(1P)           |        10443 |   0  |   3.525 GeV |        700 keV |      0     |          h_c         |    10443   |        self-cc       |
| B*_0~0            |       -10511 |   0  |   5.738 GeV |      149.9 MeV |      0     |      anti-B_0*0      |   -10511   |         B*_00        |
| B*_00             |        10511 |   0  |   5.738 GeV |      149.9 MeV |      0     |         B_0*0        |    10511   |        B*_0~0        |
| B_1(L)~0          |       -10513 |   0  |   5.723 GeV |         21 MeV |      0     |       anti-B_10      |   -10513   |        B_1(L)0       |
| B_1(L)0           |        10513 |   0  |   5.723 GeV |         21 MeV |      0     |         B_10         |    10513   |       B_1(L)~0       |
| B*_0-             |       -10521 |  -1  |   5.738 GeV |      149.9 MeV |      0     |         B_0*-        |   -10521   |         B*_0+        |
| B*_0+             |        10521 |   1  |   5.738 GeV |      149.9 MeV |      0     |         B_0*+        |    10521   |         B*_0-        |
| B_1(L)-           |       -10523 |  -1  |   5.723 GeV |         21 MeV |      0     |         B_1-         |   -10523   |        B_1(L)+       |
| B_1(L)+           |        10523 |   1  |   5.723 GeV |         21 MeV |      0     |         B_1+         |    10523   |        B_1(L)-       |
| B*_s0~0           |       -10531 |   0  |   5.841 GeV |      149.9 MeV |      0     |      anti-B_s0*0     |   -10531   |        B*_s00        |
| B*_s00            |        10531 |   0  |   5.841 GeV |      149.9 MeV |      0     |        B_s0*0        |    10531   |        B*_s0~0       |
| B_s1(L)~0         |       -10533 |   0  |   5.829 GeV |          5 MeV |      0     |      anti-B_s10      |   -10533   |       B_s1(L)0       |
| B_s1(L)0          |        10533 |   0  |   5.829 GeV |        500 keV |      0     |         B_s10        |    10533   |       B_s1(L)~0      |
| B_c0*-            |       -10541 |  -1  |    7.25 GeV |          0 ns  |      0     |        B_c0*-        |   -10541   |        B_c0*+        |
| B_c0*+            |        10541 |   1  |    7.25 GeV |          0 ns  |      0     |        B_c0*+        |    10541   |        B_c0*-        |
| B_c1(L)-          |       -10543 |  -1  |     7.3 GeV |          0 ns  |      0     |         B_c1-        |   -10543   |       B_c1(L)+       |
| B_c1(L)+          |        10543 |   1  |     7.3 GeV |          0 ns  |      0     |         B_c1+        |    10543   |       B_c1(L)-       |
| chi_b0(1P)        |        10551 |   0  |   9.859 GeV |          0 ns  |      0     |        chi_b0        |    10551   |        self-cc       |
| h_b(1P)           |        10553 |   0  |   9.899 GeV |          0 ns  |      0     |          h_b         |    10553   |        self-cc       |
| eta_b2(1D)        |        10555 |   0  |   10.16 GeV |          0 ns  |      0     |      eta_b2(1D)      |    10555   |        self-cc       |
| Delta(1900)~+     |       -11112 |   1  |    1.84 GeV |          0 ns  |      0     |        unknown       |      0     |     Delta(1900)-     |
| Delta(1900)-      |        11112 |  -1  |    1.84 GeV |          0 ns  |      0     |        unknown       |      0     |     Delta(1900)~+    |
| Delta(1700)~+     |       -11114 |   1  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)-     |
| Delta(1700)-      |        11114 |  -1  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)~+    |
| Delta(1930)~+     |       -11116 |   1  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)-     |
| Delta(1930)-      |        11116 |  -1  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)~+    |
| Delta(1900)~0     |       -11212 |   0  |    1.93 GeV |        350 MeV |      0     |        unknown       |      0     |     Delta(1900)0     |
| Delta(1900)0      |        11212 |   0  |    1.93 GeV |        350 MeV |      0     |        unknown       |      0     |     Delta(1900)~0    |
| Delta(1930)~0     |       -11216 |   0  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)0     |
| Delta(1930)0      |        11216 |   0  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)~0    |
| N(1440)~0         |       -12112 |   0  |    1.43 GeV |        300 MeV |      0     |        unknown       |      0     |       N(1440)0       |
| N(1440)0          |        12112 |   0  |    1.43 GeV |        300 MeV |      0     |        unknown       |      0     |       N(1440)~0      |
| Delta(1700)~0     |       -12114 |   0  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)0     |
| Delta(1700)0      |        12114 |   0  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)~0    |
| N(1680)~0         |       -12116 |   0  |   1.685 GeV |        130 MeV |      0     |        unknown       |      0     |       N(1680)0       |
| N(1680)0          |        12116 |   0  |   1.685 GeV |        130 MeV |      0     |        unknown       |      0     |       N(1680)~0      |
| N(1990)~0         |       -12118 |   0  |    1.95 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1990)0       |
| N(1990)0          |        12118 |   0  |    1.95 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1990)~0      |
| Delta(1900)~-     |       -12122 |  -1  |    1.84 GeV |          0 ns  |      0     |        unknown       |      0     |     Delta(1900)+     |
| Delta(1900)+      |        12122 |   1  |    1.84 GeV |          0 ns  |      0     |        unknown       |      0     |     Delta(1900)~-    |
| Delta(1930)~-     |       -12126 |  -1  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)+     |
| Delta(1930)+      |        12126 |   1  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)~-    |
| N(1440)~-         |       -12212 |  -1  |    1.43 GeV |        300 MeV |      0     |        unknown       |      0     |       N(1440)+       |
| N(1440)+          |        12212 |   1  |    1.43 GeV |        300 MeV |      0     |        unknown       |      0     |       N(1440)~-      |
| Delta(1700)~-     |       -12214 |  -1  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)+     |
| Delta(1700)+      |        12214 |   1  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)~-    |
| N(1680)~-         |       -12216 |  -1  |   1.685 GeV |        130 MeV |      0     |        unknown       |      0     |       N(1680)+       |
| N(1680)+          |        12216 |   1  |   1.685 GeV |        130 MeV |      0     |        unknown       |      0     |       N(1680)~-      |
| N(1990)~-         |       -12218 |  -1  |    1.95 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1990)+       |
| N(1990)+          |        12218 |   1  |    1.95 GeV |          0 ns  |      0     |        unknown       |      0     |       N(1990)~-      |
| Delta(1900)~--    |       -12222 |  -2  |    1.84 GeV |          0 ns  |      0     |        unknown       |      0     |     Delta(1900)++    |
| Delta(1900)++     |        12222 |   2  |    1.84 GeV |          0 ns  |      0     |        unknown       |      0     |    Delta(1900)~--    |
| Delta(1700)~--    |       -12224 |  -2  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |     Delta(1700)++    |
| Delta(1700)++     |        12224 |   2  |     1.7 GeV |        300 MeV |      0     |        unknown       |      0     |    Delta(1700)~--    |
| Delta(1930)~--    |       -12226 |  -2  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |     Delta(1930)++    |
| Delta(1930)++     |        12226 |   2  |    1.95 GeV |        360 MeV |      0     |        unknown       |      0     |    Delta(1930)~--    |
| Sigma(1660)~+     |       -13112 |   1  |    1.66 GeV |        100 MeV |      0     |        unknown       |      0     |     Sigma(1660)-     |
| Sigma(1660)-      |        13112 |  -1  |    1.66 GeV |        100 MeV |      0     |        unknown       |      0     |     Sigma(1660)~+    |
| Sigma(1670)~+     |       -13114 |   1  |    1.67 GeV |         60 MeV |      0     |        unknown       |      0     |     Sigma(1670)-     |
| Sigma(1670)-      |        13114 |  -1  |    1.67 GeV |         60 MeV |      0     |        unknown       |      0     |     Sigma(1670)~+    |
| Sigma(1915)~+     |       -13116 |   1  |   1.915 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1915)-     |
| Sigma(1915)-      |        13116 |  -1  |   1.915 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1915)~+    |
| Lambda(1405)~0    |       -13122 |   0  |   1.405 GeV |         50 MeV |      0     |  anti-Lambda(1405)0  |      0     |     Lambda(1405)0    |
| Lambda(1405)0     |        13122 |   0  |   1.405 GeV |         50 MeV |      0     |     Lambda(1405)0    |      0     |    Lambda(1405)~0    |
| Lambda(1690)~0    |       -13124 |   0  |    1.69 GeV |         60 MeV |      0     |  anti-Lambda(1690)0  |      0     |     Lambda(1690)0    |
| Lambda(1690)0     |        13124 |   0  |    1.69 GeV |         60 MeV |      0     |     Lambda(1690)0    |      0     |    Lambda(1690)~0    |
| Lambda(1830)~0    |       -13126 |   0  |    1.83 GeV |         95 MeV |      0     |  anti-Lambda(1830)0  |      0     |     Lambda(1830)0    |
| Lambda(1830)0     |        13126 |   0  |    1.83 GeV |         95 MeV |      0     |     Lambda(1830)0    |      0     |    Lambda(1830)~0    |
| Sigma(1660)~0     |       -13212 |   0  |    1.66 GeV |        100 MeV |      0     |   anti-Sigma(1660)0  |      0     |     Sigma(1660)0     |
| Sigma(1660)0      |        13212 |   0  |    1.66 GeV |        100 MeV |      0     |     Sigma(1660)0     |      0     |     Sigma(1660)~0    |
| Sigma(1670)~0     |       -13214 |   0  |    1.67 GeV |         60 MeV |      0     |   anti-Sigma(1670)0  |      0     |     Sigma(1670)0     |
| Sigma(1670)0      |        13214 |   0  |    1.67 GeV |         60 MeV |      0     |     Sigma(1670)0     |      0     |     Sigma(1670)~0    |
| Sigma(1915)~0     |       -13216 |   0  |   1.915 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1915)0     |
| Sigma(1915)0      |        13216 |   0  |   1.915 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1915)~0    |
| Sigma(1660)~-     |       -13222 |  -1  |    1.66 GeV |        100 MeV |      0     |        unknown       |      0     |     Sigma(1660)+     |
| Sigma(1660)+      |        13222 |   1  |    1.66 GeV |        100 MeV |      0     |        unknown       |      0     |     Sigma(1660)~-    |
| Sigma(1670)~-     |       -13224 |  -1  |    1.67 GeV |         60 MeV |      0     |        unknown       |      0     |     Sigma(1670)+     |
| Sigma(1670)+      |        13224 |   1  |    1.67 GeV |         60 MeV |      0     |        unknown       |      0     |     Sigma(1670)~-    |
| Sigma(1915)~-     |       -13226 |  -1  |   1.915 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1915)+     |
| Sigma(1915)+      |        13226 |   1  |   1.915 GeV |        120 MeV |      0     |        unknown       |      0     |     Sigma(1915)~-    |
| Xi(1820)~+        |       -13314 |   1  |   1.823 GeV |         24 MeV |      0     |        unknown       |      0     |       Xi(1820)-      |
| Xi(1820)-         |        13314 |  -1  |   1.823 GeV |         24 MeV |      0     |        unknown       |      0     |      Xi(1820)~+      |
| Xi(1820)~0        |       -13324 |   0  |   1.823 GeV |         24 MeV |      0     |        unknown       |      0     |       Xi(1820)0      |
| Xi(1820)0         |        13324 |   0  |   1.823 GeV |         24 MeV |      0     |        unknown       |      0     |      Xi(1820)~0      |
| Lambda_c(2595)~-  |       -14122 |  -1  |   2.592 GeV |        2.6 MeV |      0     | anti-Lambda_c(2593)- |      0     |    Lambda_c(2595)+   |
| Lambda_c(2595)+   |        14122 |   1  |   2.592 GeV |        2.6 MeV |      0     |    Lambda_c(2593)+   |      0     |   Lambda_c(2595)~-   |
| Lambda_b(5912)~0  |       -15122 |   0  |   5.912 GeV |      500.2 keV |      0     | anti-Lambda_b(5912)0 |   -15122   |    Lambda_b(5912)0   |
| Lambda_b(5912)0   |        15122 |   0  |   5.912 GeV |      500.2 keV |      0     |    Lambda_b(5912)0   |    15122   |   Lambda_b(5912)~0   |
| opticalphoton     |        20022 |   0  |       0 eV  |     stable     |      0     |       Cerenkov       |      0     |        self-cc       |
| a_1(1260)0        |        20113 |   0  |    1.23 GeV |        420 MeV |      0     |         a_10         |    20113   |        self-cc       |
| a_1(1260)-        |       -20213 |  -1  |    1.23 GeV |        420 MeV |      0     |         a_1-         |   -20213   |      a_1(1260)+      |
| a_1(1260)+        |        20213 |   1  |    1.23 GeV |        420 MeV |      0     |         a_1+         |    20213   |      a_1(1260)-      |
| f_1(1285)         |        20223 |   0  |   1.282 GeV |       24.2 MeV |      0     |          f_1         |    20223   |        self-cc       |
| K_1(1400)~0       |       -20313 |   0  |   1.403 GeV |        174 MeV |      0     |      anti-K'_10      |   -20313   |      K_1(1400)0      |
| K_1(1400)0        |        20313 |   0  |   1.403 GeV |        174 MeV |      0     |         K'_10        |    20313   |      K_1(1400)~0     |
| K_2(1820)~0       |       -20315 |   0  |   1.816 GeV |        276 MeV |      0     |        unknown       |      0     |      K_2(1820)0      |
| K_2(1820)0        |        20315 |   0  |   1.816 GeV |        276 MeV |      0     |        unknown       |      0     |      K_2(1820)~0     |
| K_1(1400)-        |       -20323 |  -1  |   1.403 GeV |        174 MeV |      0     |         K'_1-        |   -20323   |      K_1(1400)+      |
| K_1(1400)+        |        20323 |   1  |   1.403 GeV |        174 MeV |      0     |         K'_1+        |    20323   |      K_1(1400)-      |
| K_2(1820)-        |       -20325 |  -1  |   1.816 GeV |        276 MeV |      0     |        unknown       |      0     |      K_2(1820)+      |
| K_2(1820)+        |        20325 |   1  |   1.816 GeV |        276 MeV |      0     |        unknown       |      0     |      K_2(1820)-      |
| f_1(1420)         |        20333 |   0  |   1.426 GeV |       54.9 MeV |      0     |         f'_1         |    20333   |        self-cc       |
| D_1(H)-           |       -20413 |  -1  |   2.445 GeV |      250.3 MeV |      0     |         D'_1-        |   -20413   |        D_1(H)+       |
| D_1(H)+           |        20413 |   1  |   2.445 GeV |      250.3 MeV |      0     |         D'_1+        |    20413   |        D_1(H)-       |
| D_1(H)~0          |       -20423 |   0  |   2.445 GeV |      250.3 MeV |      0     |      anti-D'_10      |   -20423   |        D_1(H)0       |
| D_1(H)0           |        20423 |   0  |   2.445 GeV |      250.3 MeV |      0     |         D'_10        |    20423   |       D_1(H)~0       |
| D_s1(2460)-       |       -20433 |  -1  |   2.459 GeV |          1 MeV |      0     |         D_s1-        |   -20433   |      D_s1(2460)+     |
| D_s1(2460)+       |        20433 |   1  |   2.459 GeV |          1 MeV |      0     |         D_s1+        |    20433   |      D_s1(2460)-     |
| chi_c1(1P)        |        20443 |   0  |   3.511 GeV |        840 keV |      0     |        chi_c1        |    20443   |        self-cc       |
| B_1(H)~0          |       -20513 |   0  |   5.757 GeV |      250.3 MeV |      0     |      anti-B'_10      |   -20513   |        B_1(H)0       |
| B_1(H)0           |        20513 |   0  |   5.757 GeV |      250.3 MeV |      0     |         B'_10        |    20513   |       B_1(H)~0       |
| B_1(H)-           |       -20523 |  -1  |   5.757 GeV |      250.3 MeV |      0     |         B'_1-        |   -20523   |        B_1(H)+       |
| B_1(H)+           |        20523 |   1  |   5.757 GeV |      250.3 MeV |      0     |         B'_1+        |    20523   |        B_1(H)-       |
| B_s1(H)~0         |       -20533 |   0  |   5.859 GeV |      250.3 MeV |      0     |      anti-B'_s10     |   -20533   |       B_s1(H)0       |
| B_s1(H)0          |        20533 |   0  |   5.859 GeV |      250.3 MeV |      0     |        B'_s10        |    20533   |       B_s1(H)~0      |
| B_c1(H)-          |       -20543 |  -1  |     7.4 GeV |          0 ns  |      0     |        B'_c1-        |   -20543   |       B_c1(H)+       |
| B_c1(H)+          |        20543 |   1  |     7.4 GeV |          0 ns  |      0     |        B'_c1+        |    20543   |       B_c1(H)-       |
| chi_b1(1P)        |        20553 |   0  |   9.893 GeV |          0 ns  |      0     |        chi_b1        |    20553   |        self-cc       |
| Upsilon_2(1D)     |        20555 |   0  |   10.16 GeV |          0 ns  |      0     |     Upsilon_2(1D)    |    20555   |        self-cc       |
| Delta(1910)~+     |       -21112 |   1  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)-     |
| Delta(1910)-      |        21112 |  -1  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)~+    |
| Delta(1920)~+     |       -21114 |   1  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)-     |
| Delta(1920)-      |        21114 |  -1  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)~+    |
| Delta(1910)~0     |       -21212 |   0  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)0     |
| Delta(1910)0      |        21212 |   0  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)~0    |
| N(1700)~0         |       -21214 |   0  |     1.7 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1700)0       |
| N(1700)0          |        21214 |   0  |     1.7 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1700)~0      |
| N(1535)~0         |       -22112 |   0  |   1.535 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1535)0       |
| N(1535)0          |        22112 |   0  |   1.535 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1535)~0      |
| Delta(1920)~0     |       -22114 |   0  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)0     |
| Delta(1920)0      |        22114 |   0  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)~0    |
| Delta(1910)~-     |       -22122 |  -1  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)+     |
| Delta(1910)+      |        22122 |   1  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)~-    |
| N(1700)~-         |       -22124 |  -1  |     1.7 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1700)+       |
| N(1700)+          |        22124 |   1  |     1.7 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1700)~-      |
| N(1535)~-         |       -22212 |  -1  |   1.535 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1535)+       |
| N(1535)+          |        22212 |   1  |   1.535 GeV |        150 MeV |      0     |        unknown       |      0     |       N(1535)~-      |
| Delta(1920)~-     |       -22214 |  -1  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)+     |
| Delta(1920)+      |        22214 |   1  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)~-    |
| Delta(1910)~--    |       -22222 |  -2  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |     Delta(1910)++    |
| Delta(1910)++     |        22222 |   2  |    1.89 GeV |        280 MeV |      0     |        unknown       |      0     |    Delta(1910)~--    |
| Delta(1920)~--    |       -22224 |  -2  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |     Delta(1920)++    |
| Delta(1920)++     |        22224 |   2  |    1.92 GeV |        260 MeV |      0     |        unknown       |      0     |    Delta(1920)~--    |
| Sigma(1750)~+     |       -23112 |   1  |    1.75 GeV |         90 MeV |      0     |        unknown       |      0     |     Sigma(1750)-     |
| Sigma(1750)-      |        23112 |  -1  |    1.75 GeV |         90 MeV |      0     |        unknown       |      0     |     Sigma(1750)~+    |
| Sigma(1940)~+     |       -23114 |   1  |    1.94 GeV |        220 MeV |      0     |        unknown       |      0     |     Sigma(1940)-     |
| Sigma(1940)-      |        23114 |  -1  |    1.94 GeV |        220 MeV |      0     |        unknown       |      0     |     Sigma(1940)~+    |
| Lambda(1600)~0    |       -23122 |   0  |     1.6 GeV |        150 MeV |      0     |  anti-Lambda(1600)0  |      0     |     Lambda(1600)0    |
| Lambda(1600)0     |        23122 |   0  |     1.6 GeV |        150 MeV |      0     |     Lambda(1600)0    |      0     |    Lambda(1600)~0    |
| Lambda(1890)~0    |       -23124 |   0  |    1.89 GeV |        100 MeV |      0     |        unknown       |      0     |     Lambda(1890)0    |
| Lambda(1890)0     |        23124 |   0  |    1.89 GeV |        100 MeV |      0     |        unknown       |      0     |    Lambda(1890)~0    |
| Lambda(2110)~0    |       -23126 |   0  |    2.11 GeV |        200 MeV |      0     |        unknown       |      0     |     Lambda(2110)0    |
| Lambda(2110)0     |        23126 |   0  |    2.11 GeV |        200 MeV |      0     |        unknown       |      0     |    Lambda(2110)~0    |
| Sigma(1750)~0     |       -23212 |   0  |    1.75 GeV |         90 MeV |      0     |   anti-Sigma(1750)0  |      0     |     Sigma(1750)0     |
| Sigma(1750)0      |        23212 |   0  |    1.75 GeV |         90 MeV |      0     |     Sigma(1750)0     |      0     |     Sigma(1750)~0    |
| Sigma(1940)~0     |       -23214 |   0  |    1.94 GeV |        220 MeV |      0     |        unknown       |      0     |     Sigma(1940)0     |
| Sigma(1940)0      |        23214 |   0  |    1.94 GeV |        220 MeV |      0     |        unknown       |      0     |     Sigma(1940)~0    |
| Sigma(1750)~-     |       -23222 |  -1  |    1.75 GeV |         90 MeV |      0     |        unknown       |      0     |     Sigma(1750)+     |
| Sigma(1750)+      |        23222 |   1  |    1.75 GeV |         90 MeV |      0     |        unknown       |      0     |     Sigma(1750)~-    |
| Sigma(1940)~-     |       -23224 |  -1  |    1.94 GeV |        220 MeV |      0     |        unknown       |      0     |     Sigma(1940)+     |
| Sigma(1940)+      |        23224 |   1  |    1.94 GeV |        220 MeV |      0     |        unknown       |      0     |     Sigma(1940)~-    |
| rho(1700)0        |        30113 |   0  |    1.72 GeV |        250 MeV |      0     |       rho(3S)0       |      0     |        self-cc       |
| rho(1700)-        |       -30213 |  -1  |    1.72 GeV |        250 MeV |      0     |       rho(3S)-       |      0     |      rho(1700)+      |
| rho(1700)+        |        30213 |   1  |    1.72 GeV |        250 MeV |      0     |       rho(3S)+       |      0     |      rho(1700)-      |
| omega(1650)       |        30223 |   0  |    1.67 GeV |        315 MeV |      0     |      omega(1650)     |      0     |        self-cc       |
| K*(1680)~0        |       -30313 |   0  |   1.717 GeV |        320 MeV |      0     |      anti-K''*0      |      0     |       K*(1680)0      |
| K*(1680)0         |        30313 |   0  |   1.717 GeV |        320 MeV |      0     |         K''*0        |      0     |      K*(1680)~0      |
| K*(1680)-         |       -30323 |  -1  |   1.717 GeV |        320 MeV |      0     |         K''*-        |      0     |       K*(1680)+      |
| K*(1680)+         |        30323 |   1  |   1.717 GeV |        320 MeV |      0     |         K''*+        |      0     |       K*(1680)-      |
| anti-Xsd          |       -30343 |   0  |     1.6 GeV |          0 ns  |      0     |       anti-Xsd       |   -30343   |          Xsd         |
| Xsd               |        30343 |   0  |     1.6 GeV |          0 ns  |      0     |          Xsd         |    30343   |       anti-Xsd       |
| anti-Xsu          |       -30353 |  -1  |     1.6 GeV |          0 ns  |      0     |       anti-Xsu       |   -30353   |          Xsu         |
| Xsu               |        30353 |   1  |     1.6 GeV |          0 ns  |      0     |          Xsu         |    30353   |       anti-Xsu       |
| anti-Xss          |       -30363 |   0  |     1.8 GeV |          0 ns  |      0     |       anti-Xss       |   -30363   |          Xss         |
| Xss               |        30363 |   0  |     1.8 GeV |          0 ns  |      0     |          Xss         |    30363   |       anti-Xss       |
| psi(3770)         |        30443 |   0  |   3.773 GeV |       27.2 MeV |      0     |       psi(3770)      |    30443   |        self-cc       |
| Upsilon_1(1D)     |        30553 |   0  |   10.16 GeV |          0 ns  |      0     |     Upsilon_1(1D)    |    30553   |        self-cc       |
| Delta(1600)~+     |       -31114 |   1  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)-     |
| Delta(1600)-      |        31114 |  -1  |     1.6 GeV |        320 MeV |      0     |        unknown       |      0     |     Delta(1600)~+    |
| N(1720)~0         |       -31214 |   0  |    1.72 GeV |        250 MeV |      0     |        unknown       |      0     |       N(1720)0       |
| N(1720)0          |        31214 |   0  |    1.72 GeV |        250 MeV |      0     |        unknown       |      0     |       N(1720)~0      |
| N(1650)~0         |       -32112 |   0  |   1.655 GeV |        140 MeV |      0     |        unknown       |      0     |       N(1650)0       |
| N(1650)0          |        32112 |   0  |   1.655 GeV |        140 MeV |      0     |        unknown       |      0     |       N(1650)~0      |
